index;title;description;protocol;y_true
17;inhibition of porphyromonas gingivalis n-terminal his-tagged dpp4 expressed in escherichia coli using gly-pro-p-nitroanilide a substrate;title : crystal structure of porphyromonas gingivalis dipeptidyl peptidase 4 and structure-activity relationship based on inhibitor profiling . abstract : the gram-negative anaerobe porphyromonas gingivalis is associated with chronic periodontitis . clinical isolates of p. gingivalis strain with high dipeptidyl peptidase 4 ( dpp4 ) expression also had a high capacity for biofilm formation and were more infective . the x-ray crystal structure of p. gingivalis dpp4 wa solved at 2.2 å resolution . despite a sequence identity of 32 % , the overall structure of the dimer wa conserved between p. gingivalis dpp4 and mammalian orthologues . the structure of the substrate binding site were also conserved , except for the region called s2-extensive , which is exploited by specific human dpp4 inhibitor currently used a antidiabetic drug . screening of a collection of 450 compound a inhibitor revealed a structure-activity relationship that mimic in part that of mammalian dpp9 . the functional similarity between human and bacterial dpp4 wa confirmed using 124 potential peptide substrate .;;-1.0
18;inhibition of human erg channel at 5 ug/ml after 30 min by rubidium efflux assay;title : bicyclic and tricyclic heterocycle derivative a histamine h3 receptor antagonist for the treatment of obesity . abstract : a novel series of non-imidazole bicyclic and tricyclic histamine h3 receptor antagonist ha been discovered . compound 17 wa identified a a centrally penetrant molecule with high receptor occupancy which demonstrates robust oral activity in rodent model of obesity . in addition compound 17 posse clean cyp and herg profile and show no behavioral change in the irwin test .;;-1.0
19;displacement of pmdm6-f from human recombinant mdm2;title : structure-based design of spiro-oxindoles a potent , specific small-molecule inhibitor of the mdm2-p53 interaction . abstract : potent , specific , non-peptide small-molecule inhibitor of the mdm2-p53 interaction were successfully designed . the most potent inhibitor ( mi-63 ) ha a k ( i ) value of 3 nm binding to mdm2 and greater than 10,000-fold selectivity over bcl-2/bcl-xl protein . mi-63 is highly effective in activation of p53 function and in inhibition of cell growth in cancer cell with wild-type p53 status . mi-63 ha excellent specificity over cancer cell with deleted p53 and show a minimal toxicity to normal cell .;;-1.0
20;inhibition of full length human akt3 expressed in sf9 cell assessed a reduction in substrate phosphorylation using biotin-ahx-arkreraysfghha-amide substrate and [ gamma-33p ] atp incubated for 40 min by top count microplate scintillation counting method;inhibition of full length human akt3 expressed in sf9 cell assessed a reduction in substrate phosphorylation using biotin-ahx-arkreraysfghha-amide substrate and [ gamma-33p ] atp incubated for 40 min by top count microplate scintillation counting method;;-1.0
21;inhibition of epidermal growth factor receptor ( egfr );title : tyrosine kinase inhibitor . 6. structure-activity relationship among n- and 3-substituted 2,2'-diselenobis ( 1h-indoles ) for inhibition of protein tyrosine kinase and comparative in vitro and in vivo study against selected sulfur congener . abstract : a small series of 2,2'-diselenobis ( 1h-indoles ) wa synthesized a redox-modified congener of our earlier reported 2,2'-dithiobis ( 1h-indole ) series . utilizing chemistry similar to that developed earlier for the disulfur series , compound were made from 2-halogeno-3-indolecarboxylic acid precursor bearing various polar functionality at the c-3 position and small alkyl substituents at the n-1 position of the indole nucleus . additional compound were derived from ( r ) - or ( s ) -tryptophan via a novel application of diselenium dichloride a an electrophilic source of diselenium , and a much improved process to a 2,2'-dithiobis ( 1h-indole ) congener wa developed utilizing disulfur dichloride a a source of disulfur . against isolated epidermal growth factor receptor ( egfr ) , platelet-derived growth factor receptor ( pdgfr ) , and v-src tyrosine kinase , compound in this series displayed broad inhibitory activity with ic50 = 0.9 to > 100 microm v egfr , 3.4 to > 50 microm v pdgfr , and 0.4-6.7 microm v v-src . in general , compound derived from tryptophan displayed the greatest potency against egfr and those from 2-halogeno-3-indolecarboxylic acid greater potency against pdgfr and v-src . enzyme kinetics study showed that both class of compound display primarily noncompetitive inhibition with respect to either atp or peptide substrate . the sulfhydryl reducing agent dithiothreitol ( dtt ) caused a general decrease in inhibition of the egfr and v-src tyrosine kinase by both the diselenium and disulfur series with the reversal of enzyme inhibition occurring le readily within the diselenium series . in whole cell study , compound of this class were growth inhibitory against swiss 3t3 mouse fibroblast with ic50 value from 0.5 to 19.5 microm , and the observed sar wa different from that of the 2,2'-dithiobis ( 1h-indoles ) . a comparative study in the same cell line on the effect of the 2,2'-diselenobis ( 1h-indole ) derived from ( r ) -tryptophan v it disulfur congener on growth factor mediated tyrosine phosphorylation showed that this compound significantly inhibited egfr and pdgfr ( in response to it ligand ) autophosphorylation with complete suppression at 25 and 5 microm , respectively . tyrosine phosphorylation of an 85 kda protein typically phosphorylated in response to bfgf wa also exquisitely sensitive to this compound , and it displayed inhibitory effect on dna , rna , and protein synthesis at submicromolar concentration . the disulfur congener exhibited a qualitatively similar pattern . however , it potency wa 10-fold le . this same diselenium/disulfur pair wa evaluated in vivo against the b16 melanoma , colon carcinoma 26 , and m5076 sarcoma murine tumor , and the a431 epidermoid , and c6 glioma human tumor xenograft . at maximum tolerated dos ( 1.8 and 5.0 mg/kg/injection , respectively ) , neither the diselenium nor disulfur congener wa effective against the c6 glioma when administered intraperitoneally on a d1-9 schedule . study were also carried out against the a431 epidermoid xenograft to evaluate the same pair of compound via continuous subcutaneous infusion from alzet miniosmotic pump . the maximum dose that could be administered daily wa limited by compound solubility . neither compound produced an antitumor effect in a 7-day continuous infusion study . in the 27-day study , the disulfur compound wa inactive whereas the diselenium compound produced a 10.8-day growth delay without appreciable treatment related weight loss . the in vitro and in vivo finding offer a mechanistic rationale a to why the 2,2'-diselenobis ( 1h-indoles ) are more potent inhibitor than their disulfur congener .;;-1.0
22;binding affinity to recombinant human carbonic anhydrase 13 expressed in escherichia coli expression system assessed a kinetic protonation enthalpy change by itc method;title : halogenated and di-substituted benzenesulfonamides a selective inhibitor of carbonic anhydrase isoforms . abstract : by applying an approach of a `` ring with two tail '' , a series of novel inhibitor possessing high-affinity and significant selectivity towards selected carbonic anhydrase ( ca ) isoforms ha been designed . the `` ring '' consists of 2-chloro/bromo-benzenesulfonamide , where the sulfonamide group is a an anchor coordinating the zn ( ii ) in the active site of ca , and halogen atom orient the ring affecting the affinity and selectivity . first `` tail '' is a substituent containing carbonyl , carboxyl , hydroxyl , ether group or hydrophilic amide linkage . the second `` tail '' contains aryl- or alkyl-substituents attached through a sulfanyl or sulfonyl group . both `` tail '' are connected to the benzene ring and play a crucial role in selectivity . varying the substituents , we designed compound selective for ca vii , ca ix , ca xii , or ca xiv . since due to binding-linked protonation reaction the binding-ready fraction of the compound and protein are much lower than one , the `` intrinsic '' affinity were calculated that should be used to study correlation between crystal structure and the thermodynamics of binding for rational drug design . the `` intrinsic '' affinity together with the intrinsic enthalpy and entropy of binding together with co-crystal structure were used demonstrate structural factor determining major contribution for compound affinity and selectivity .;;-1.0
23;intrinsic activity at human lpa1 receptor transfected in hek293 cell after 1 hr by tgfalpha shedding assay relative to lpa;title : phosphorothioate analog of sn-2 radyl lysophosphatidic acid ( lpa ) : metabolically stabilized lpa receptor agonist . abstract : we describe an efficient synthesis of metabolically stabilized sn-2 radyl phosphorothioate analog of lysophosphatidic acid ( lpa ) , and the determination of the agonist activity of each analog for the six lpa receptor ( lpa1-6 ) using a recently developed tgfα shedding assay . in general , the sn-2 radyl ompt analog showed similar agonist activity to the previous 1-oleoyl-2-o-methyl-glycerophosphothioate ( sn-1 ompt ) analog for lpa1-6 receptor . in most case , the sn-2 radyl-ompt analog were more potent agonist than lpa itself . most importantly , sn-2 alkyl ompt analog were very potent lpa5 and lpa6 agonist . the availability of sn-2 radyl opmt analog further refines the structure-activity relationship for ligand-receptor interaction for this class of gpcrs .;;1.0
24;inhibition of human recombinant carbonic anhydrase 1 by stopped-flow co2 hydration assay;title : sulfonamide inhibition study of the η-class carbonic anhydrase from the malaria pathogen plasmodium falciparum . abstract : the η-carbonic anhydrases ( ca , ec 4.2.1.1 ) were recently discovered a the sixth genetic class of this metalloenzyme superfamily , and are so far known only in protozoa , including various plasmodium specie , the causative agent of malaria . we report here an inhibition study of the η-ca from plasmodium falciparum ( pfca ) against a panel of sulfonamide and one sulfamate compound , some of which are clinically used . the strongest inhibitor identified were ethoxzolamide and sulthiame , with ki of 131-132 nm , followed by acetazolamide , methazolamide and hydrochlorothiazide ( ki of 153-198 nm ) . brinzolamide , topiramate , zonisamide , indisulam , valdecoxib and celecoxib also showed significant inhibitory action against pfca , with ki ranging from 217 to 308 nm . an interesting observation wa that the more efficient pfca inhibitor are representative of several scaffold and chemical class , including benzene sulfonamide , monocyclic/bicyclic heterocyclic sulfonamide and compound with a more complex scaffold ( i.e. , the sugar sulfamate derivative , topiramate , and the coxibs , celecoxib and valdecoxib ) . a comprehensive inhibition study of small molecule for η-cas is needed a a first step towards assessing pfca a a druggable target . the present work identifies the first known η-ca inhibitor and provides a platform for the development of next generation novel pfca inhibitor .;;-1.0
25;inhibition of human recombinant carbonic anhydrase 9-mediated co2 hydration preincubated for 15 min by stopped-flow assay;title : salen and tetrahydrosalen derivative act a effective inhibitor of the tumor-associated carbonic anhydrase xii -- a new scaffold for designing isoform-selective inhibitor . abstract : salen and tetrahydrosalen derivative posse metal-chelating property and have been used a ligand in organic synthesis and a scaffold for developing therapeutic agent . fourteen such compound were synthesized in order to explore their ability to inhibit the zinc enzyme carbonic anhydrase ( ca , ec 4.2.1.1 ) . human ( h ) isoforms hca i , hca ii , hca ix and hca xii were included in the investigation . several aliphatic and aromatic spacers were introduced between the two chelating group from salen/tetrahydrosalen in order to explore a diverse chemical space for designing ca inhibitor , which incorporate both phenol and polyamine fragment in their molecule . some of these compound showed ca inhibitory activity in the low micromolar-nanomolar range and a pronounced selectivity for inhibiting an isoform over-expressed in hypoxic tumor , hca xii , over hca i , ii and ix .;;-1.0
27;human v1b receptor ( vasopressin and oxytocin receptor );this assay detail affinity data for ligand at human v1b receptor , part of the family `` vasopressin and oxytocin receptor '' , a described in the published literature . where possible the data described are at transfected receptor expressed in cell line and the ligand described are those that are potent , selective , endogenous , or those used a prescription medication .;the international union of basic and clinical pharmacology/british pharmacological society (iuphar/bps) guide to pharmacology database (gtopdb) uses expert subcommittees to collate peer-reviewed information from the published literature regarding individual protein targets, and describes the pharmacology, genetics, function and anatomy of each target. its pages provide a richly curated overview of the pharmacology of receptors, ion channels, enzymes and other target types, which can be found by following the external link to the gtopdb website.;1.0
28;inhibition of cdc25b ( unknown origin ) at 5 ug/ml;title : synthesis and biological evaluation of novel thiadiazole amide a potent cdc25b and ptp1b inhibitor . abstract : a series of novel thiadiazole amide derivative have been synthesized and evaluated for inhibitory activity against cdc25b and ptp1b . most of them showed inhibitory activity against cdc25b ( ic50=1.18-8.01 μg/ml ) and ptp1b ( ic50=0.85-8.75 μg/ml ) , respectively . moreover , compound 5b and 4l were most potent with ic50 value of 1.18 and 0.85 μg/ml for cdc25b and ptp1b , respectively , compared with reference drug na3vo4 ( ic50=0.93 μg/ml ) and oleanolic acid ( ic50=0.85 μg/ml ) . the result of selectivity experiment showed that the target compound were selective inhibitor against ptp1b and cdc25b . enzyme kinetic experiment demonstrated that compound 5k wa a specific inhibitor with the typical characteristic of a mixed inhibitor .;;-1.0
29;binding affinity at the dopamine transporter in rast striatum by [ 3h ] win-35428 displacement .;title : interaction of cis- ( 6-benzhydrylpiperidin-3-yl ) benzylamine analogue with monoamine transporter : structure-activity relationship study of structurally constrained 3,6-disubstituted piperidine analogue of ( 2,2-diphenylethyl ) - [ 1- ( 4-fluorobenzyl ) piperidin-4-ylmethyl ] amine . abstract : to explore structure-activity relationship ( sar ) of a novel conformationally constrained lead cis-3,6-disubstituted piperidine derivative derived from ( 2,2-diphenylethyl ) - [ 1- ( 4-fluorobenzyl ) piperidine-4-ylmethyl ] amine ( i ) , a series of compound wa synthesized by derivatizing the exocyclic n-atom at the 3-position of the lead . this study led to the formation of substituted phenyl and heterocyclic derivative . all novel compound were tested for their affinity at the dopamine transporter ( dat ) , serotonin transporter ( sert ) , and norepinephrine transporter ( net ) in the brain by measuring their potency in competing for the binding of [ 3h ] win 35 428 , [ 3h ] citalopram , and [ 3h ] nisoxetine , respectively . selected compound were also evaluated for their activity in inhibiting the uptake of [ 3h ] da . the sar result demonstrated that the nature of substitution on the phenyl ring is important in activity at the dat with the presence of an electron-withdrawing group having the maximum effect on potency . replacement of the phenyl ring in the benzyl group by heterocyclic moiety resulted in the development of compound with moderate activity for the dat . two most potent racemic compound were separated by a diastereoisomeric separation procedure , and differential affinity were observed for the enantiomer . absolute configuration of the enantiomer wa obtained unambiguously by x-ray crystal structural study . one of the enantiomer , compound s , s- ( - ) -19a , exhibited the highest potency for the dat ( ic50 = 11.3 nm ) among all the compound tested and wa a potent a gbr 12909 ( 1- [ 2- [ bi ( 4-fluorophenyl ) methoxy ] ethyl ] -4- ( 3-phenylpropyl ) piperazine ) . however , the compound ( - ) -19a wa more selective than gbr 12909 in binding to the dat compared with binding to the sert and net . the present result establish the newly developed 3,6-disubstituted piperidine derivative a a novel template for high-affinity inhibitor of dat . structurally these molecule are more constrained compared to our earlier flexible piperidine molecule and , thus , should provide more insight about their bioactive conformation .;;0.0
30;inhibition of hdac1 using fluor-de-lys a substrate at 100 um by spectrofluorometry;title : histone deacetylase activator : n-acetylthioureas serve a highly potent and isozyme selective activator for human histone deacetylase-8 on a fluorescent substrate . abstract : we report , for the first time , that certain n-acetylthiourea derivative serve a highly potent and isozyme selective activator for the recombinant form of human histone deacetylase-8 in the assay system containing fluor-de-lys a a fluorescent substrate . the experimental data reveals that such activating feature is manifested via decrease in the k ( m ) value of the enzyme 's substrate and increase in the catalytic turnover rate of the enzyme .;;0.0
