ID;reference;Identify;Guess;Seek;Assess;Rater1
BC14I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;Quand vivait Toutankhamon;Il vivait pendant l'Antiquité;Quand vivait Toutankhamon;Je n'ai pas de réponse;1
BC14I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;Pourquoi cela permet de bien connecter les appareils électroniques;Car l'or est une masse électromagnétique qui permet de connecter ses objets électriques;Pourquoi Laure permet de connecter les objets électroniques;Leur permet de bien connecter les composants internes des équipements spatiaux;0
BC14I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;Comment être ou les fossiles entre parenthèses n'ont pas disparu;Car c'est solide et ça et c'est très bien conservé;Comment les êtres vivants laissent-ils des traces dans les roches;Salut une toute petite portion des organismes peut laisser des traces dans;0
BC14I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Quel dieu comprend la religion de la Grèce Antique;Athéna zeus Poséidon;Quel dieu comprend la religion de la Grèce antique;Ma réponse n'est pas marqué;1
BC14I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Pourquoi les Romains se sont-ils inspirés des dieux grecs;Car ce sont deux pays très proches et que ils ont pratique presque tous la même rel;Pourquoi les Romains se sont-ils inspirés des dieux grecs;Ma réponse n'est pas marqué;1
BC14I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Comment la forêt tropicale est-elle humide et qu'on est beaucoup trop à une température élevée toute l'année;Car il y a beaucoup;Là pour être hôpital et timide et prendre beaucoup d'eau;Ma réponse n'est pas marqué;0
BC5I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Pourqoi on l'appelle le manteau.;le magma et une pierre.;quel et la temperature magma;1 000c;0
BC5I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;quelle et les 5sens;je pense que les 5sens sont bougé apprendre ? ? ?;quelle et les 5 sens du cerveau.;non;1
BC5I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;L'Égypte antique;Les archéologues sont des chercheurs scientifiques;Qu'est-ce que l'Égypte antique;L'Égypte antique est une ancienne civilisation de l'Afrique du Nord;0
BC5I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;Lors dans les couronnes dentaires;les couronnes dentaires en or sont plus solides et ne casse pas facilement;Pourquoi fait-on des couronnes dentaires en or;On utilise les couronnes dentaires pour restaurer une dent qui a été détruite;0
BC5I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;La formation des traces dans les roches;Ces traces forment automatiquement quand un être vivant meurt;Comment les êtres vivants laissent-ils des traces  dans les roches;Seul une toute petite proportion des organismes se laisser des traces dans ma dans les roches les premiers humains sont apparus il y a 7 millions d'années;0
BC5I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;L'Olympe voilà;L'Olympe et le château des dieux grecs;Qu'est-ce que l'Olympe;L'Olympe donne son nom au Jeux Olympiques;0
BC5I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Les dieux romains;Il y a plusieurs dieux romains;Quels sont les dieux romains;il y a 12 dieux Romains comme venus la déesse de la beauté Apollo le dieu du soleil;1
BC5I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Les plus d'efforts et tropicale;Laforêt tropicale contient tout type de plantes;Quel fleuve peut-on voir dans la forêt tropicale;La forêt tropicale sont toujours ouvert car il pleut tout le temps la température dans les forêts tropicale c'est entre 30 degrés et 40 degrés;0
BC22I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;La température du magma;La température du magma dépasse les 500°C;Quel est la température du magma ?;La température du magma atteint les 1000°C;1
BC22I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;La capacités de notre cerveau;Notre cerveau stock + qu'un ordinateur ;Comment notre cerveau arrive a tout retenir ?;Notre cerveau peut récolter + de 100 informations;0
BC22I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;La période des pharaons;Je n'est pas d'hypothèses ;Comment s'appelle l'eurs dynasties ?;Je n'est pas de réponse à ma question.;1
BC22I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L'or dans les couronnes ;Les couronnes dentaires en or sont plus solides ne cassent pas facilement f;Pourquoi fait-on des couronnes en or;On utilise les couronnes dentaires pour restaurer une dent qui a été détruite;0
BC22I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;La formation des trace dans la roche;Comment la trace se forme sur la roche ?;Comment la trace se forme dans la roche;Je n'est pas trouver ma réponse.;1
BC22I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Leurs religion;C'est une religions qui ont plusieurs dieu;Quel est l'eurs religion;Je n'ai pas trouvé ma réponse à ma question ;1
BC22I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romulus;Romulus est un roi de rome;Qui est Romulus ?;Dans la légende Romulus est le premier roi de rome;1
BC22I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;La plante des forêts tropicales;Les forctes tropicale contiennent tous type de olante;Quelles plantes put on voir dans les forêts tropicales;Les foret tropicales sont toujours verte car il pleut tout le temps;0
BC20I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Combien de couches y-t-il ?;Il existe d'autre couches dans la terre à part le manteau .;Quelles sont les autres couches et combien sont-elles ?;La terre contient 7 couches  dont le noyau.;1
BC20I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Entrainement de la mémoire.;On peut entraîner notre mémoire de différents exercices .;Quels sont les exercices à faire pour bien entraîner notre mémoire ?;Il y a plusieurs activités qui aident la mémoiremais surtout il faut avoir un sommeil suffisant et bien reglé.;1
BC20I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;De quand date le premier humain momifié ?;Du 19e siècle?;De quand date le premier humain momifié  en Egypte ?;? ??‽¿?;1
BC20I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L'or dans les couronnes dentaires;Les couronnes dentaires en or sont plus solides et ne cassent pas facilement;Pourquoi fait-on des couronnes dentaires en or ?;On utilise les couronnes dentaires pour restaurer une dent qui a été détruite;0
BC20I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;L'Australie;C'est un pays du sud en Océanie ;Quand les premiers humain à y être aller ?;Je ne sais pas.;0
BC20I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Quels sont les autres dieu;Icare , heros;Quels sont les autres dieux;Je ne sais pas;1
BC20I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romulus;Romulus est un roi de Rome;Qui est Romulus ?;Dans la légende, Romulus est le premier roi de Rome;1
BC20I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Quelle est la taille du plus grand arbre;60 mètre de haut;Combien mesure le plus grand arbre ?;Je ne sais pas.;1
BC1I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Pourquoi ont apelle le liquide le magma.;Moi je crois que le magma est t' une ville d'Afrique.;Quelle est la température du m agma.;Je n'et pas trouvé.;0
BC1I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Que le cerveaua 5 sens.;Le cerveau est aussi responsable de la fonction attention;Quelles sont les autres fonctions de notre cerveau?;Le Le cerveau contrôle toutes nos actions,volontaires et involontaires;1
BC1I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;l'Égypte antique;C'est un ancien pays de l'Afrique ;Qu'est ce que l'Égypte antique ?;l'Égypte antique est une aôncienne civilisation de l'Afrique du Nord;1
BC1I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L' or dans les couronnes dentaire;Les couronnes dentaires en or son plus solides et ne casse pas facilement;Pourquoi l' or est il utile pour fonctionnement des dents équipement spatiaux;On utilise les courants dentaires pour restaurer une dent qui a été détruite;0
BC1I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;Est-ce qu'il y a quelqu'un qui a des informations des traces dans les roches.;Ces traces se forment automatiquement quand un être vivant meurt.;Comment les êtres vivants laissent-ils des traces dans les roches??;Seul tout petit proposition des organismes peut laisser des traces dans les roches.;0
BC1I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Une mythologie;Une mythologie est un ensemble de contes imaginaires;Qu'est-ce qu'une mythologie ?;Une mythologie est un ensemble de légendes liés à une civilisation bien précise;1
BC1I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romulus;Romus est un roi de Rome;Qui est Romulus ?;Dans la légende Romulus et le premier roi de Rome il y a 12 ans;1
BC1I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Les plantes des forêts tropicales;Les Ford tropicale contiennent tous types de plantes;Quelle plante peut-on voir dans les forêts tropicales ?;Les forêts tropicales sont toujours ouvertes car il pleut tout le temps;0
